2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.062s)
2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.064s)
2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.077s)
2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes → 200 (0.093s)
2026-07-29 15:08:12 | INFO     | app | Application démarrée
2026-07-29 15:09:28 | INFO     | app | Application démarrée
2026-07-29 15:11:59 | INFO     | app | Application démarrée
2026-07-29 15:14:19 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.078s)
2026-07-29 15:14:19 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.054s)
2026-07-29 15:14:19 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.067s)
2026-07-29 15:14:19 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.080s)
2026-07-29 15:14:19 | INFO     | app | GET /api/v1/ventes → 200 (0.101s)
2026-07-29 15:16:03 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.046s)
2026-07-29 15:16:03 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.053s)
2026-07-29 15:16:03 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.060s)
2026-07-29 15:16:03 | INFO     | app | GET /api/v1/ventes → 200 (0.069s)
2026-07-29 15:16:08 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.059s)
2026-07-29 15:16:08 | INFO     | app | GET /api/v1/ventes → 200 (0.082s)
2026-07-29 15:16:10 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.022s)
2026-07-29 15:16:10 | INFO     | app | GET /api/v1/rapports/source-stats → 200 (0.047s)
2026-07-29 15:16:10 | INFO     | app | GET /api/v1/rapports/facturation-clients → 200 (0.048s)
2026-07-29 15:16:10 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.050s)
2026-07-29 15:16:10 | INFO     | app | GET /api/v1/rapports/facturation → 200 (0.051s)
2026-07-29 15:17:03 | INFO     | app | GET /api/v1/rapports/facturation-clients → 200 (0.042s)
2026-07-29 15:17:03 | INFO     | app | GET /api/v1/rapports/source-stats → 200 (0.052s)
2026-07-29 15:17:03 | INFO     | app | GET /api/v1/rapports/facturation → 200 (0.030s)
2026-07-29 15:17:23 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.027s)
2026-07-29 15:17:23 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.046s)
2026-07-29 15:17:23 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.047s)
2026-07-29 15:17:23 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.062s)
2026-07-29 15:17:23 | INFO     | app | GET /api/v1/ventes → 200 (0.077s)
2026-07-29 15:17:26 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.048s)
2026-07-29 15:17:26 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.050s)
2026-07-29 15:17:26 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.087s)
2026-07-29 15:17:26 | INFO     | app | GET /api/v1/ventes → 200 (0.098s)
2026-07-29 15:17:30 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.053s)
2026-07-29 15:17:30 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.052s)
2026-07-29 15:17:30 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.075s)
2026-07-29 15:17:30 | INFO     | app | GET /api/v1/ventes → 200 (0.077s)
